,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID
161,Washington Heights,40.85190252555305,-73.93690027985234,Punto de Sabor Restaurant,40.85074,-73.93247,Spanish Restaurant,4bb8cdb053649c74465847fb
162,Washington Heights,40.85190252555305,-73.93690027985234,Lucky 7 Tapas Bar,40.85044675560533,-73.93303027615121,Tapas Restaurant,4e8d32ebb803ca3dfcbd112e
163,Washington Heights,40.85190252555305,-73.93690027985234,AT&T,40.84949305694621,-73.93456041812897,Mobile Phone Shop,4e2c467d227197a112e202a3
164,Washington Heights,40.85190252555305,-73.93690027985234,No. 1 Chinese Restaurant,40.85123671099152,-73.93960586750859,Chinese Restaurant,4b3fe94af964a520e2b125e3
165,Washington Heights,40.85190252555305,-73.93690027985234,Dominican Square,40.852424033529694,-73.93488978196986,Plaza,4d8f9d9cd265236ab3df2417
166,Washington Heights,40.85190252555305,-73.93690027985234,Sushi Yu II,40.8512546772285,-73.93965198989514,Sushi Restaurant,4a4a642cf964a520bdab1fe3
167,Washington Heights,40.85190252555305,-73.93690027985234,Yang Garden,40.85530896752232,-73.93783226069496,Chinese Restaurant,4b292f38f964a520939a24e3
168,Washington Heights,40.85190252555305,-73.93690027985234,Planet Fitness,40.84753584822694,-73.93793656267817,Gym / Fitness Center,53bbf3be498e18ec3a07c2b0
169,Washington Heights,40.85190252555305,-73.93690027985234,Spoiled Brats,40.85137620658814,-73.93528463692203,Pet Store,4ba682cff964a520825939e3
170,Washington Heights,40.85190252555305,-73.93690027985234,Mambi Steak House Bar & Grill,40.84761525167604,-73.93814343707571,Spanish Restaurant,4acce300f964a520e2c920e3
171,Washington Heights,40.85190252555305,-73.93690027985234,T-Mobile,40.85046159898994,-73.93528160613425,Mobile Phone Shop,4cd421736be6a143f3c69802
172,Washington Heights,40.85190252555305,-73.93690027985234,Marisco Centro (Seafood Restaurant & Fish Market),40.85133231436476,-73.9318637321785,Seafood Restaurant,4bdcc53e03be20a1c7b2849b
173,Washington Heights,40.85190252555305,-73.93690027985234,Baskin-Robbins,40.85044405488296,-73.9373276411219,Ice Cream Shop,4f997b58d4f21823bb1f5394
174,Washington Heights,40.85190252555305,-73.93690027985234,Claire's,40.849839,-73.93551500000001,Accessories Store,5140f01ce4b0fc7cdf26a64f
175,Washington Heights,40.85190252555305,-73.93690027985234,Refried Beans Mexican Restaurant,40.85503858399724,-73.93703107149052,Mexican Restaurant,4b2c33d0f964a520aac324e3
176,Washington Heights,40.85190252555305,-73.93690027985234,Kazza Wine Bar,40.84769385813797,-73.93862109202698,Wine Bar,55739017498eef85afc14a4e
177,Washington Heights,40.85190252555305,-73.93690027985234,Tung Thong,40.851109976169056,-73.93921985006985,Thai Restaurant,5809511c38fafba1ec352126
